Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-01-01,Soul,2020,https://boxd.it/1ydDsN,5,,disney+,2020-12-31
2021-01-07,First Man,2018,https://boxd.it/1zmfQN,4,,netflix,2021-01-04
2021-01-07,The Midnight Sky,2020,https://boxd.it/1zmpyJ,4,,netflix,2021-01-05
2021-01-09,Tenet,2020,https://boxd.it/1zziZz,4.5,,alternative,2021-01-08
2021-01-11,Wonder Woman 1984,2020,https://boxd.it/1zVOT3,3.5,,alternative,2021-01-10
2021-01-16,Anomalisa,2015,https://boxd.it/1AHhSx,5,,alternative,2021-01-13
2021-01-16,Baby Driver,2017,https://boxd.it/1AHj5n,5,,alternative,2021-01-14
2021-01-16,Fire and Ice,1983,https://boxd.it/1AHwR5,5,,youtube,2021-01-15
2021-01-27,Outside the Wire,2021,https://boxd.it/1CnNZt,3.5,,netflix,2021-01-23
2021-01-27,Blade Runner 2049,2017,https://boxd.it/1CnWbR,4.5,,tv,2021-01-26
2021-01-29,Tokyo Godfathers,2003,https://boxd.it/1CDYpj,5,,alternative,2021-01-28
2021-01-31,I Am Mother,2019,https://boxd.it/1CRGON,4.5,,netflix,2021-01-29
2021-01-31,Drained,2006,https://boxd.it/1CRJUz,5,,alternative,2021-01-30
2021-02-01,Burn After Reading,2008,https://boxd.it/1D33vh,5,,alternative,2021-01-31
2021-02-02,Army of Darkness,1992,https://boxd.it/1DcTp9,5,,alternative,2021-01-31
2021-02-05,The Room,2003,https://boxd.it/1DEeIl,2,,alternative,2021-02-01
2021-02-05,The Laundromat,2019,https://boxd.it/1DEgTZ,4,,netflix,2021-02-03
2021-02-05,Eurovision Song Contest: The Story of Fire Saga,2020,https://boxd.it/1DEkUR,4.5,,netflix,2021-02-04
2021-02-07,Vox Lux,2018,https://boxd.it/1DTBkB,2.5,,alternative,2021-02-06
2021-02-08,New York Stories,1989,https://boxd.it/1E6Uwx,5,,alternative,2021-02-06
2021-02-08,The Secret in Their Eyes,2009,https://boxd.it/1E6WUB,5,,alternative,2021-02-07
2021-02-10,Tale of Tales,2015,https://boxd.it/1EngSH,4,,alternative,2021-02-09
2021-02-12,Boy & the World,2013,https://boxd.it/1ECR0n,5,,alternative,2021-02-10
2021-02-15,Men in Black: International,2019,https://boxd.it/1F5vIP,4,,netflix,2021-02-14
2021-02-15,BlacKkKlansman,2018,https://boxd.it/1F6ivv,5,,netflix,2021-02-14
2021-02-16,Total Recall,2012,https://boxd.it/1FfQQF,3.5,,netflix,2021-02-15
2021-02-18,Das Boot,1981,https://boxd.it/1Fxc4R,5,,netflix,2021-02-17
2021-02-21,Annihilation,2018,https://boxd.it/1FTRRJ,2.5,,netflix,2021-02-20
2021-02-24,News of the World,2020,https://boxd.it/1Gmr5H,5,,netflix,2021-02-21
2021-03-05,Mank,2020,https://boxd.it/1Hx8Fn,5,,netflix,2021-03-02
2021-03-05,The Favourite,2018,https://boxd.it/1HxhoP,5,,disney+,2021-03-04
2021-03-16,I Care a Lot,2020,https://boxd.it/1J4Jet,4.5,,netflix,2021-03-15
2021-03-19,Bright,2017,https://boxd.it/1Js3VX,3.5,,netflix,2021-03-18
2021-03-20,Get the Goat,2021,https://boxd.it/1JxKzb,5,,netflix,2021-03-19
2021-03-28,Apollo 13,1995,https://boxd.it/1KENLn,5,,netflix,2021-03-27
2021-03-28,Space Sweepers,2021,https://boxd.it/1KEOxB,3,,netflix,2021-03-27
2021-04-02,Cars 3,2017,https://boxd.it/1Ljw8b,4,,disney+,2021-03-28
2021-04-02,The Trial of the Chicago 7,2020,https://boxd.it/1Ljyu9,5,,netflix,2021-03-28
2021-04-11,Upgrade,2018,https://boxd.it/1MEMpN,2.5,,netflix,2021-03-29
2021-04-02,Scott Pilgrim vs. the World,2010,https://boxd.it/1Ljz0T,5,,netflix,2021-03-31
2021-04-11,Project Power,2020,https://boxd.it/1MEPQx,3.5,,netflix,2021-04-05
2021-04-11,Isle of Dogs,2018,https://boxd.it/1MFHEb,5,,disney+,2021-04-06
2021-04-12,Rushmore,1998,https://boxd.it/1MTvsv,5,,disney+,2021-04-11
2021-04-15,Monster Pets: A Hotel Transylvania Short,2021,https://boxd.it/1NnRHx,4,,youtube,2021-04-15
2021-04-25,Road to Perdition,2002,https://boxd.it/1OJbGP,4,,disney+,2021-04-20
2021-04-25,Jumanji: Welcome to the Jungle,2017,https://boxd.it/1OJgeh,3,,netflix,2021-04-21
2021-05-09,Stowaway,2021,https://boxd.it/1QEHvH,4,,netflix,2021-04-27
2021-05-09,Love and Monsters,2020,https://boxd.it/1QEKop,2.5,,netflix,2021-04-27
2021-05-09,The Hunt for Red October,1990,https://boxd.it/1QF5gB,4.5,,netflix,2021-05-02
2021-05-09,Sorry to Bother You,2018,https://boxd.it/1QFNsL,5,,netflix,2021-05-06
2021-05-18,Garden State,2004,https://boxd.it/1S0jXF,4,,disney+,2021-05-13
2021-05-18,Oxygen,2021,https://boxd.it/1S0lcB,4.5,,netflix,2021-05-17
2021-05-19,Another Earth,2011,https://boxd.it/1S0mND,5,,disney+,2021-05-18
2021-05-22,Highlander,1986,https://boxd.it/1StbTN,5,,netflix,2021-05-18
2021-05-22,Surrogates,2009,https://boxd.it/1SteM1,3,,disney+,2021-05-19
2021-05-22,Anima,2019,https://boxd.it/1Stfmt,4,,netflix,2021-05-19
2021-05-25,And Tomorrow the Entire World,2020,https://boxd.it/1SQaeP,3,,netflix,2021-05-22
2021-05-25,The 13th Warrior,1999,https://boxd.it/1SQbDr,4,,disney+,2021-05-23
2021-05-28,Cooking with Love,2018,https://boxd.it/1T9yEb,2.5,,tv,2021-05-24
