Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,TMDB ID
2023-02-19,You People,2023,https://boxd.it/3SdzI9,4,,"source:netflix, genre:drama, genre:comedy",2023-02-18,866413
2023-02-19,Raw,2016,https://boxd.it/3SdAhj,5,,"source:netflix, genre:drama, genre:thriller",2023-02-18,393519
2023-02-21,Top Gun: Maverick,2022,https://boxd.it/3SQuZR,4,,"genre:action, genre:adventure, source:sky",2023-02-20,361743
2023-02-24,Sonic the Hedgehog 2,2022,https://boxd.it/3TU7uX,4,,"genre:adventure, genre:action, adaptation:game, source:sky, style:animation",2023-02-24,675353
2023-03-05,White Noise,2022,https://boxd.it/3WaGF7,4.5,,"source:netflix, genre:comedy, genre:drama, adaptation:book",2023-03-04,744594
2023-03-06,An Ostrich Told Me the World Is Fake and I Think I Believe It,2022,https://boxd.it/3WBrQt,5,,"source:internet, genre:drama, style:animation, genre:comedy",2023-03-05,943776
2023-03-17,The Year of the Death of Ricardo Reis,2020,https://boxd.it/3ZEaa9,4,,"source:primevideo, genre:drama, adaptation:book",2023-03-17,614734
2023-03-18,Monster Hunter,2020,https://boxd.it/3ZRwYr,2.5,,"source:netflix, genre:adventure, genre:action, adaptation:game",2023-03-18,458576
2023-03-18,Float,2019,https://boxd.it/3ZRy09,5,,"source:disney+, genre:drama, genre:family",2023-03-18,574093
2023-03-19,Everything Everywhere All at Once,2022,https://boxd.it/40bdCV,5,,"source:alternative, genre:sci-fi, genre:adventure, genre:action, genre:family",2023-03-19,545611
2023-03-25,Boston Strangler,2023,https://boxd.it/41JwYX,4,,"source:disney+, genre:drama, genre:film-noir, adaptation:facts",2023-03-25,881164
2023-04-03,Tetris,2023,https://boxd.it/442xC5,5,,"source:appletv, genre:drama, genre:adventure, adaptation:facts",2023-04-02,726759
2023-04-09,"The Boy, the Mole, the Fox and the Horse",2022,https://boxd.it/4632it,5,,"source:appletv, genre:adventure, genre:drama, adaptation:fairy-tale, style:animation",2023-04-09,995133
2023-04-09,Luck,2022,https://boxd.it/46335F,4,,"genre:adventure, genre:action, genre:musical, source:appletv, style:animation",2023-04-09,585511
2023-04-14,Vivarium,2019,https://boxd.it/47hBj9,4,,"genre:drama, genre:thriller, genre:sci-fi, source:hbomax",2023-04-13,458305
2023-04-19,Old,2021,https://boxd.it/48Eki9,3,,"source:primevideo, genre:horror, genre:drama, genre:thriller",2023-04-18,631843
2023-04-21,Parasite,2019,https://boxd.it/495Gen,5,,"genre:comedy, genre:drama, genre:thriller, genre:horror, source:hbomax",2023-04-20,496243
